# x	y	u	v	mask
  0.2600	  3.3800	  0.0000	  0.0000	  0.0000
  0.5200	  3.3800	  2.0279	  0.4404	  1.0000
  0.7800	  3.3800	  0.0000	  0.0000	  0.0000
  1.0400	  3.3800	  0.0000	  0.0000	  0.0000
  1.3000	  3.3800	  2.0901	  0.3651	  1.0000
  1.5600	  3.3800	  2.1100	  0.3936	  1.0000
  1.8200	  3.3800	  0.0000	  0.0000	  0.0000
  2.0800	  3.3800	  0.0000	  0.0000	  0.0000
  2.3400	  3.3800	  1.4379	  0.2141	  1.0000
  2.6000	  3.3800	  1.1763	  0.2562	  1.0000
  2.8600	  3.3800	  1.0869	  0.3257	  1.0000
  3.1200	  3.3800	  0.0000	  0.0000	  0.0000
  3.3800	  3.3800	  0.0000	  0.0000	  0.0000
  0.2600	  3.1200	  0.0000	  0.0000	  0.0000
  0.5200	  3.1200	  0.0000	  0.0000	  0.0000
  0.7800	  3.1200	  2.2768	  0.5010	  1.0000
  1.0400	  3.1200	  2.2540	  0.4307	  1.0000
  1.3000	  3.1200	  2.3684	  0.4926	  1.0000
  1.5600	  3.1200	  0.0000	  0.0000	  0.0000
  1.8200	  3.1200	  0.0000	  0.0000	  0.0000
  2.0800	  3.1200	  0.0000	  0.0000	  0.0000
  2.3400	  3.1200	  0.0000	  0.0000	  0.0000
  2.6000	  3.1200	  1.4736	  0.4515	  1.0000
  2.8600	  3.1200	  1.3663	  0.5252	  1.0000
  3.1200	  3.1200	  0.0000	  0.0000	  0.0000
  3.3800	  3.1200	  0.0000	  0.0000	  0.0000
  0.2600	  2.8600	  0.0000	  0.0000	  0.0000
  0.5200	  2.8600	  0.0000	  0.0000	  0.0000
  0.7800	  2.8600	  0.0000	  0.0000	  0.0000
  1.0400	  2.8600	  2.5703	  0.2618	  1.0000
  1.3000	  2.8600	  2.7318	  0.3718	  1.0000
  1.5600	  2.8600	  0.0000	  0.0000	  0.0000
  1.8200	  2.8600	  0.0000	  0.0000	  0.0000
  2.0800	  2.8600	  0.0000	  0.0000	  0.0000
  2.3400	  2.8600	  2.1348	  0.5023	  1.0000
  2.6000	  2.8600	  1.8879	  0.5647	  1.0000
  2.8600	  2.8600	  0.0000	  0.0000	  0.0000
  3.1200	  2.8600	  1.6881	  0.6404	  1.0000
  3.3800	  2.8600	  1.3963	  0.7102	  1.0000
  0.2600	  2.6000	  0.0000	  0.0000	  0.0000
  0.5200	  2.6000	  2.6817	  0.3014	  1.0000
  0.7800	  2.6000	  0.0000	  0.0000	  0.0000
  1.0400	  2.6000	  0.0000	  0.0000	  0.0000
  1.3000	  2.6000	  0.0000	  0.0000	  0.0000
  1.5600	  2.6000	  2.9360	  0.3530	  1.0000
  1.8200	  2.6000	  0.0000	  0.0000	  0.0000
  2.0800	  2.6000	  0.0000	  0.0000	  0.0000
  2.3400	  2.6000	  2.4542	  0.5683	  1.0000
  2.6000	  2.6000	  2.1966	  0.5861	  1.0000
  2.8600	  2.6000	  0.0000	  0.0000	  0.0000
  3.1200	  2.6000	  2.0395	  0.6698	  1.0000
  3.3800	  2.6000	  1.8392	  0.7315	  1.0000
  0.2600	  2.3400	  2.5676	  0.3755	  1.0000
  0.5200	  2.3400	  0.0000	  0.0000	  0.0000
  0.7800	  2.3400	  0.0000	  0.0000	  0.0000
  1.0400	  2.3400	  0.0000	  0.0000	  0.0000
  1.3000	  2.3400	  3.1112	  0.5148	  1.0000
  1.5600	  2.3400	  3.1765	  0.4892	  1.0000
  1.8200	  2.3400	  3.2780	  0.5679	  1.0000
  2.0800	  2.3400	  3.1530	  0.7064	  1.0000
  2.3400	  2.3400	  2.8034	  0.7406	  1.0000
  2.6000	  2.3400	  2.5843	  0.7589	  1.0000
  2.8600	  2.3400	  0.0000	  0.0000	  0.0000
  3.1200	  2.3400	  0.0000	  0.0000	  0.0000
  3.3800	  2.3400	  2.2695	  0.8527	  1.0000
  0.2600	  2.0800	  0.0000	  0.0000	  0.0000
  0.5200	  2.0800	  0.0000	  0.0000	  0.0000
  0.7800	  2.0800	  0.0000	  0.0000	  0.0000
  1.0400	  2.0800	  0.0000	  0.0000	  0.0000
  1.3000	  2.0800	  0.0000	  0.0000	  0.0000
  1.5600	  2.0800	  3.5058	  0.4471	  1.0000
  1.8200	  2.0800	  3.5981	  0.5043	  1.0000
  2.0800	  2.0800	  3.4624	  0.6716	  1.0000
  2.3400	  2.0800	  0.0000	  0.0000	  0.0000
  2.6000	  2.0800	  0.0000	  0.0000	  0.0000
  2.8600	  2.0800	  0.0000	  0.0000	  0.0000
  3.1200	  2.0800	  0.0000	  0.0000	  0.0000
  3.3800	  2.0800	  0.0000	  0.0000	  0.0000
  0.2600	  1.8200	  2.7614	  0.3355	  1.0000
  0.5200	  1.8200	  3.1148	  0.2544	  1.0000
  0.7800	  1.8200	  3.1150	  0.2323	  1.0000
  1.0400	  1.8200	  3.2007	  0.2490	  1.0000
